	genbank_id	description	taxonomy_name
526	AB191604.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-M5.	Human immunodeficiency virus 1
527	AB191608.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-Mpk2.	Human immunodeficiency virus 1
528	AB191611.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-Mpk6.	Human immunodeficiency virus 1
529	AB191612.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-Mpk7.	Human immunodeficiency virus 1
530	AB191613.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-Mpk8.	Human immunodeficiency virus 1
531	AB191614.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-FM8.	Human immunodeficiency virus 1
532	AB191615.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-FM9.	Human immunodeficiency virus 1
533	AB191616.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 00ZM-NMS.	Human immunodeficiency virus 1
534	AB191617.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM3292.	Human immunodeficiency virus 1
535	AB191618.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM1177.	Human immunodeficiency virus 1
536	AB191619.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZMCH20.	Human immunodeficiency virus 1
537	AB191620.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM4613.	Human immunodeficiency virus 1
538	AB191621.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM4622.	Human immunodeficiency virus 1
539	AB191622.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM4.	Human immunodeficiency virus 1
540	AB191623.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZMG2.	Human immunodeficiency virus 1
541	AB191624.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM3289.	Human immunodeficiency virus 1
542	AB191625.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM3297.	Human immunodeficiency virus 1
543	AB191626.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM18.	Human immunodeficiency virus 1
544	AB191627.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZMCH12.	Human immunodeficiency virus 1
545	AB191628.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM4438.	Human immunodeficiency virus 1
546	AB191629.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZMG5.	Human immunodeficiency virus 1
547	AB191630.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM3294.	Human immunodeficiency virus 1
548	AB191631.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZMCH15.	Human immunodeficiency virus 1
549	AB191632.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM20.	Human immunodeficiency virus 1
550	AB191633.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM5148.	Human immunodeficiency virus 1
551	AB191634.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM3606.	Human immunodeficiency virus 1
552	AB191635.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM1116.	Human immunodeficiency virus 1
553	AB191636.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM3293.	Human immunodeficiency virus 1
554	AB191637.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZMG3.	Human immunodeficiency virus 1
555	AB191638.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM5155.	Human immunodeficiency virus 1
556	AB191639.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM12.	Human immunodeficiency virus 1
557	AB191640.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM5.	Human immunodeficiency virus 1
558	AB191641.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM13.	Human immunodeficiency virus 1
559	AB191642.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZM9.	Human immunodeficiency virus 1
560	AB191643.1	Human immunodeficiency virus 1 proviral gene for gag p17, partial cds, isolate: 99ZMCH14.	Human immunodeficiency virus 1
561	AB191644.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-LA.	Human immunodeficiency virus 1
562	AB191645.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-LH.	Human immunodeficiency virus 1
563	AB191646.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-LM.	Human immunodeficiency virus 1
564	AB191647.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-LN.	Human immunodeficiency virus 1
565	AB191648.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-LP.	Human immunodeficiency virus 1
566	AB191649.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM9.	Human immunodeficiency virus 1
567	AB191650.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMCH12.	Human immunodeficiency virus 1
568	AB191651.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMCH13.	Human immunodeficiency virus 1
569	AB191652.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMCH14.	Human immunodeficiency virus 1
570	AB191653.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMCH15.	Human immunodeficiency virus 1
571	AB191654.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMCH20.	Human immunodeficiency virus 1
572	AB191655.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMG2.	Human immunodeficiency virus 1
573	AB191656.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMG3.	Human immunodeficiency virus 1
574	AB191657.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZMG5.	Human immunodeficiency virus 1
575	AB191658.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM1116.	Human immunodeficiency virus 1
576	AB191659.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM12.	Human immunodeficiency virus 1
577	AB191660.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM13.	Human immunodeficiency virus 1
578	AB191661.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM18.	Human immunodeficiency virus 1
579	AB191662.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 9ZM20.	Human immunodeficiency virus 1
580	AB191663.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM3289.	Human immunodeficiency virus 1
581	AB191664.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM3292.	Human immunodeficiency virus 1
582	AB191665.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM3294.	Human immunodeficiency virus 1
583	AB191666.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM3606.	Human immunodeficiency virus 1
584	AB191667.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM5.	Human immunodeficiency virus 1
585	AB191668.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 99ZM5148.	Human immunodeficiency virus 1
586	AB191669.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW4.	Human immunodeficiency virus 1
587	AB191671.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-B3.	Human immunodeficiency virus 1
588	AB191672.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-B8.	Human immunodeficiency virus 1
589	AB191674.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-M7.	Human immunodeficiency virus 1
590	AB191675.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-Mpk1.	Human immunodeficiency virus 1
591	AB191676.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-Mpk2.	Human immunodeficiency virus 1
592	AB191677.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-Mpk8.	Human immunodeficiency virus 1
593	AB191678.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW10.	Human immunodeficiency virus 1
594	AB191679.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW13.	Human immunodeficiency virus 1
595	AB191680.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW14.	Human immunodeficiency virus 1
596	AB191681.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW19.	Human immunodeficiency virus 1
597	AB191682.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW2.	Human immunodeficiency virus 1
598	AB191683.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW5.	Human immunodeficiency virus 1
599	AB191684.1	Human immunodeficiency virus 1 proviral DNA, 5' long terminal repeat, partial sequence,isolate: 00ZM-NW6.	Human immunodeficiency virus 1
600	OM964041.1	HIV-1 isolate P4_Pl_D100_p2A4_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
601	OM964043.1	HIV-1 isolate P4_Pl_D100_p2B2_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
602	OM964046.1	HIV-1 isolate P4_Pl_D100_p2B6_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
603	OM964048.1	HIV-1 isolate P4_Pl_D100_p2C2_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
604	OM964052.1	HIV-1 isolate P4_Pl_D100_p2D6_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
605	OM964054.1	HIV-1 isolate P4_Pl_D100_p2E3_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
606	OM964056.1	HIV-1 isolate P4_Pl_D100_p2F10_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
607	OM964057.1	HIV-1 isolate P4_Pl_D100_p2F12_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
608	OM964058.1	HIV-1 isolate P4_Pl_D100_p2F9_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
609	OM964059.1	HIV-1 isolate P4_Pl_D100_p2G5_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
610	OM964060.1	HIV-1 isolate P4_Pl_D100_p2G7_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
611	OM964061.1	HIV-1 isolate P4_Pl_D100_p2H12_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
612	OM964062.1	HIV-1 isolate P4_Pl_D100_p2H4_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
613	OM964068.1	HIV-1 isolate P4_Pl_D150_p1E12_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
614	OM964070.1	HIV-1 isolate P4_Pl_D150_p1G8_2000-01-10 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
615	MN543902.1	Influenza A virus (A/swine/North Carolina/A02245243/2019(H1N2)) segment 4 hemagglutinin (HA) gene, partial cds.	Influenza A virus
616	MN544235.1	Influenza A virus (A/swine/Kansas/A02478669/2019(H3N2)) segment 6 neuraminidase (NA) gene, complete cds.	Influenza A virus
617	MN544237.1	Influenza A virus (A/swine/Iowa/A02478672/2019(H3N2)) segment 6 neuraminidase (NA) gene, complete cds.	Influenza A virus
618	MN544403.1	Measles virus strain MVs/Ljubljana.SVN/34.19[D8] nucleoprotein gene, partial cds.	Measles virus genotype D8
619	MN544426.1	Measles virus genotype D8 strain MVi/Manjung.MYS/12.19/2/[D8] nucleoprotein (N) gene, partial cds.	Measles virus genotype D8
620	MN544433.1	Measles virus genotype B3 strain MVs/Kuala Lumpur.MYS/12.19/[B3] nucleoprotein (N) gene, partial cds.	Measles virus genotype B3
621	MN600658.1	HIV-1 isolate 2016CAp5.A64 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
622	MN600698.1	HIV-1 isolate 2016CAp5.A104 from Canada nef protein (nef) gene, complete cds.	Human immunodeficiency virus 1
623	MN690688.1	HIV-1 isolate PIQU.38 from France envelope glycoprotein (env) gene, complete cds.	Human immunodeficiency virus 1
624	MN690716.1	HIV-1 isolate XAPE.D1 from France envelope glycoprotein (env) gene, complete cds.	Human immunodeficiency virus 1
625	MN737052.1	Fowl aviadenovirus 11 strain ADL13 1851 hexon protein gene, partial cds.	Fowl aviadenovirus 11
626	MN737053.1	Fowl adenovirus 8b strain ADL17 0258 hexon protein gene, partial cds.	Fowl adenovirus 8b
627	MN737083.1	Fowl adenovirus 8b strain ADL19 0895 hexon protein gene, partial cds.	Fowl adenovirus 8b
628	MN737112.1	Rabbit hemorrhagic disease virus 2 strain GI.2/O cun/FR/2013/13-165, complete genome.	Rabbit hemorrhagic disease virus 2
629	MN737113.1	Rabbit hemorrhagic disease virus 2 strain GI.2/O cun/FR/2010/10-28, complete genome.	Rabbit hemorrhagic disease virus 2
630	MN737114.1	Rabbit hemorrhagic disease virus 2 strain GI.2/O cun/FR/2010/10-32, complete genome.	Rabbit hemorrhagic disease virus 2
631	MN737115.1	Rabbit calicivirus Europe 1 strain GI.3/O cun/FR/2006/06-11, complete genome.	Rabbit calicivirus Europe 1
632	MN737116.1	Rabbit calicivirus Europe 1 strain GI.3/O cun/FR/2009/09-48, partial genome.	Rabbit calicivirus Europe 1
633	MN737117.1	Rabbit calicivirus Europe 1 strain GI.3/O cun/FR/2009/09-100, partial genome.	Rabbit calicivirus Europe 1
634	MN737181.1	Echovirus E18 strain QD5-C/SD/CHN/2019 polyprotein gene, complete cds.	Echovirus E18
635	MN737267.1	Bat herpesvirus isolate ROC2012_P_nanulus DNA polymerase gene, partial cds.	Bat herpesvirus
636	MN737268.1	Bat herpesvirus isolate ROC2012_T_persicus DNA polymerase gene, partial cds.	Bat herpesvirus
637	MN737269.1	Equus caballus papillomavirus 4 isolate Ithaca_2016 E6 protein (E6) gene, partial cds.	Equus caballus papillomavirus 4
638	MN737270.1	Infectious bursal disease virus isolate CD92/19 VP2 protein (VP2) gene, partial cds.	Infectious bursal disease virus
639	MN737272.1	Infectious bursal disease virus isolate MA7d/19 VP2 protein (VP2) gene, partial cds.	Infectious bursal disease virus
640	MN737287.1	Infectious bursal disease virus isolate AT26/19 VP2 protein (VP2) gene, partial cds.	Infectious bursal disease virus
641	MN737288.1	Infectious bursal disease virus isolate AT28/19 VP2 protein (VP2) gene, partial cds.	Infectious bursal disease virus
642	MN737451.1	HIV-1 isolate B19284 from China gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds.	Human immunodeficiency virus 1
643	MN737452.1	HIV-1 isolate B19331 from China gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds.	Human immunodeficiency virus 1
644	MN737453.1	HIV-1 isolate B19578 from China gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif) gene, complete cds; vpr gene, complete sequence; tat protein (tat), rev protein (rev), and vpu protein (vpu) genes, complete cds; env gene, complete sequence; and nef protein (nef) gene, partial cds.	Human immunodeficiency virus 1
645	MN737479.1	Andes orthohantavirus isolate RN glycoprotein G1 gene, partial cds.	Andes orthohantavirus
646	MN737552.1	Bean golden mosaic virus isolate DF_45_LR_LVV 03 segment A, complete sequence.	Bean golden mosaic virus
647	MN800562.1	HIV-1 isolate 2015010844 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
648	MN800563.1	HIV-1 isolate 2015010856 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
649	MN800564.1	HIV-1 isolate 2015010862 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
650	MN800565.1	HIV-1 isolate 2015010871 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
651	MN800566.1	HIV-1 isolate 2015010890 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
652	MN800567.1	HIV-1 isolate 2015010894 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
653	MN800568.1	HIV-1 isolate 2015010905 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
654	MN800569.1	HIV-1 isolate 2015010926 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
655	MN800570.1	HIV-1 isolate 2015010935 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
656	MN800571.1	HIV-1 isolate 2015010936 from China pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence.	Human immunodeficiency virus 1
657	MN800572.1	HIV-1 isolate 2015010948 from China pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence.	Human immunodeficiency virus 1
658	MN800573.1	HIV-1 isolate 2015010950 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
659	MN800574.1	HIV-1 isolate 2015010961 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
660	MN800575.1	HIV-1 isolate 2015010964 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
661	MN800576.1	HIV-1 isolate 2015010971 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
662	MN800577.1	HIV-1 isolate 2015010975 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
663	MN800578.1	HIV-1 isolate 2015010978 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
664	MN800580.1	HIV-1 isolate 2015010983 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
665	MN800581.1	HIV-1 isolate 2015010989 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
666	MN800582.1	HIV-1 isolate 2015010994 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
667	MN800583.1	HIV-1 isolate 2015010998 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
668	MN800584.1	HIV-1 isolate 2015011004 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
669	MN800585.1	HIV-1 isolate 2015011006 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
670	MN800586.1	HIV-1 isolate 2015011012 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
671	MN800587.1	HIV-1 isolate 2015011018 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
672	MN800588.1	HIV-1 isolate 2015011028 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
673	MN800589.1	HIV-1 isolate 2015011035 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
674	MN800590.1	HIV-1 isolate 2015011042 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
675	MN800591.1	HIV-1 isolate 2015011053 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
676	MN800592.1	HIV-1 isolate 2015011081 from China pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence.	Human immunodeficiency virus 1
677	MN800593.1	HIV-1 isolate 2015011083 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
678	MN800594.1	HIV-1 isolate 2015011100 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
679	MN800595.1	HIV-1 isolate 2015011101 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
680	MN800596.1	HIV-1 isolate 2015011106 from China pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence.	Human immunodeficiency virus 1
681	MN800597.1	HIV-1 isolate 2015011122 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
682	MN800598.1	HIV-1 isolate 2015011127 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
683	MN800599.1	HIV-1 isolate 2015011128 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
684	MN800600.1	HIV-1 isolate 2015011132 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
685	MN800601.1	HIV-1 isolate 2015011134 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
686	MN800602.1	HIV-1 isolate 2015011138 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
687	MN800603.1	HIV-1 isolate 2015011155 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
688	MN800604.1	HIV-1 isolate 2015011161 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
689	MN800605.1	HIV-1 isolate 2015011162 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
690	MN800606.1	HIV-1 isolate 2015011179 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
691	MN800607.1	HIV-1 isolate 2015011195 from China pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence.	Human immunodeficiency virus 1
692	MN800608.1	HIV-1 isolate 2015011197 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
693	MN800609.1	HIV-1 isolate 2015011222 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
694	MN800610.1	HIV-1 isolate 2015011227 from China pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence.	Human immunodeficiency virus 1
695	MN800611.1	HIV-1 isolate 2015011231 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
696	MN800612.1	HIV-1 isolate 2015011233 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
697	MN800613.1	HIV-1 isolate 2015011238 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
698	MN800614.1	HIV-1 isolate 2015011242 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
699	MN800615.1	HIV-1 isolate 2015011247 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
700	MN796596.1	HIV-1 isolate 20100012 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
701	MN796597.1	HIV-1 isolate 20100014 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
702	MN796598.1	HIV-1 isolate 20100023 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
703	MN796599.1	HIV-1 isolate 20100034 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
704	MN796600.1	HIV-1 isolate 20100045 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
705	MN796601.1	HIV-1 isolate 20100053 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
706	MN796602.1	HIV-1 isolate 20100057 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
707	MN796603.1	HIV-1 isolate 20100063 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
708	MN796604.1	HIV-1 isolate 20100064 from China pol protein (pol) gene, partial cds; and nonfunctional gag protein (gag) gene, partial sequence.	Human immunodeficiency virus 1
709	MN796605.1	HIV-1 isolate 20100070 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
710	MN796606.1	HIV-1 isolate 20100081 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
711	MN796607.1	HIV-1 isolate 20100084 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
712	MN796608.1	HIV-1 isolate 20100085 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
713	MN796609.1	HIV-1 isolate 20100086 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
714	MN796611.1	HIV-1 isolate 20100114 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
715	MN796612.1	HIV-1 isolate 20100137 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
716	MN796613.1	HIV-1 isolate 20100138 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
717	MN796614.1	HIV-1 isolate 20100141 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
718	MN796615.1	HIV-1 isolate 20100157 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
719	MN796616.1	HIV-1 isolate 20100159 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
720	MN796617.1	HIV-1 isolate 20100163 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
721	MN796618.1	HIV-1 isolate 20100169 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
722	MN796619.1	HIV-1 isolate 20100171 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
723	MN796620.1	HIV-1 isolate 20100172 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
724	MN796621.1	HIV-1 isolate 20100175 from China pol protein (pol) and gag protein (gag) genes, partial cds.	Human immunodeficiency virus 1
